,id,tweet_id,text,tag,date,partition
883,675,360582943359516673,asciende a 80 el número de fallecidos por descarrilamiento de tren en españa ,Related and informative,Fri Jul 26 02:10:47 +0000 2013,train
884,676,360584981799641090,<USR> : lets pray for the people who died in a train crash in spain today . <URL> ,Related - but not informative,Fri Jul 26 02:18:53 +0000 2013,train
885,677,360587561279815680,accidente de tren en españa desencadena la solidaridad internacional - <URL> ,Related and informative,Fri Jul 26 02:29:08 +0000 2013,train
886,678,360588412727726080,lets pray for the people who died in a train crash in spain today . <URL> ,Related and informative,Fri Jul 26 02:32:31 +0000 2013,train
887,679,360588651794673666,ascienden a 79 los muertos en el accidente de tren de santiago de compostela <URL> ,Related and informative,Fri Jul 26 02:33:28 +0000 2013,train
888,680,360590430175367168,spanish king visits train survivors : spain ' s king juan carlos visits the injured survivors of a train derailme . . . <URL> ,Related and informative,Fri Jul 26 02:40:32 +0000 2013,train
889,681,360590719611715585,accidente de tren en españa desencadena la solidaridad internacional - <URL> ,Related - but not informative,Fri Jul 26 02:41:41 +0000 2013,train
890,682,360598671986929664,80 dead in spain train crash blamed on high speed <URL> ,Related and informative,Fri Jul 26 03:13:17 +0000 2013,train
891,683,360607517790834690,estudiante mexicana murió en accidente de tren en españa <URL> ,Related and informative,Fri Jul 26 03:48:26 +0000 2013,train
892,684,360615247884730369,mormon missionary survives spain train wreck : mormon missionary survives devastating train collision that left . . . <URL> ,Related and informative,Fri Jul 26 04:19:09 +0000 2013,train
893,685,360617428931182593,qué triste que una mexicana falleciera en el accidente de tren en españa . doblemente triste que fuera veracruzana y de mi … ,Related - but not informative,Fri Jul 26 04:27:49 +0000 2013,train
894,686,360626652214075392,another terrible train accident . . . i ' m beginning to wonder if these are accidents . heart & thoughts goes out to those in spain . ,Related - but not informative,Fri Jul 26 05:04:28 +0000 2013,train
895,687,360627256172888065,maribel verdú lamenta la tragedia por el accidente de un tren en españa y dice que también la toca : : : : show : <URL> ,Related - but not informative,Fri Jul 26 05:06:52 +0000 2013,train
896,688,360635648966799362,i favorited a <USR> video <URL> high speed train that crashed in spain was going almost twice the speed limit ,Related and informative,Fri Jul 26 05:40:13 +0000 2013,train
897,689,360644410897207296,the bad news of spain train crush makes me sad . i wish all the people around the world be safe and sound . ,Related and informative,Fri Jul 26 06:15:02 +0000 2013,train
898,690,360645383946379264,raw footage cctv video / / train crash in spain : 78 people died : <URL> #quellochemiamadrenonsa #papafrancisco #m5s ,Related and informative,Fri Jul 26 06:18:54 +0000 2013,train
899,691,360648760394661888,cristiano ronaldo viajará a santiago de compostela para donar sangre por lo ocurrido en el accidente de tren . #crack #r … ,Related and informative,Fri Jul 26 06:32:19 +0000 2013,train
900,692,360649003651710976,bbc news - spain ' s king juan carlos visits injured train survivors <URL> ,Related and informative,Fri Jul 26 06:33:17 +0000 2013,train
901,693,360649527935512577,give thanka for this new day ! it ' s a travel day so jah bless us as we board the train in spain . ,Related - but not informative,Fri Jul 26 06:35:22 +0000 2013,train
902,694,360652287779143680,un tren a 190 sin la seguridad de la alta velocidad descarrilando en una curva inadecuada es la metáfora de la españa d … ,Related and informative,Fri Jul 26 06:46:20 +0000 2013,train
903,695,360654468838199296,"es curioso , para abc y la razón lo del tren es culpa del maquinista , en cambio rajoy no es culpable de lo de españa . ",Related - but not informative,Fri Jul 26 06:55:00 +0000 2013,train
904,696,360670113562763264,spain mourns train crash victims <URL> ,Related and informative,Fri Jul 26 07:57:10 +0000 2013,train
905,697,360671053086867456,"acabo de llegar a españa y a escuchado acerca del accidente de tren , que dios los bendiga a todos . ",Related - but not informative,Fri Jul 26 08:00:54 +0000 2013,train
906,698,360680515474440195,lets pray for the people who died in a train crash in spain today . <URL> ,Related and informative,Fri Jul 26 08:38:30 +0000 2013,train
907,699,360682054767222784,un tren a 190 sin la seguridad de la alta velocidad descarrilando en una curva inadecuada es la metáfora de la españa d … ,Related and informative,Fri Jul 26 08:44:37 +0000 2013,train
908,700,360687352185761793,<USR> 2 do acto guerra comandado desde los cielos descarrilamiento d tren en españa a sudamérica la otan . la respeta . 1 ro francia . ,Related - but not informative,Fri Jul 26 09:05:40 +0000 2013,train
909,701,360692838306025472,spain train accident : at least 77 killed and 131 injured <URL> <URL> ,Related and informative,Fri Jul 26 09:27:28 +0000 2013,train
910,702,360695807902613504,conductor de tren descarrilado en españa comparecerá ante la justicia <URL> ,Related and informative,Fri Jul 26 09:39:16 +0000 2013,train
911,703,360696713859694592,video del momento del accidente de tren de santiago de compostela ( + 18 ) : video del momento del accidente de tr . . . <URL> ,Related and informative,Fri Jul 26 09:42:52 +0000 2013,train
912,704,360708353036521472,que mal lo del tren de españa loco . ,Related - but not informative,Fri Jul 26 10:29:07 +0000 2013,train
913,705,360714988425457664,train conductor in custody as investigation begins on the spain derailment crash that killed 80 . speed is cited as a potential cause . ,Related and informative,Fri Jul 26 10:55:29 +0000 2013,train
914,706,360717823774957568,police detain train driver over crash near santiago de compostela : <URL> #spain ,Related and informative,Fri Jul 26 11:06:45 +0000 2013,train
915,707,360719023375269888,the train driver is very very lucky to be alive . . <URL> #spain #train #crash ,Related - but not informative,Fri Jul 26 11:11:31 +0000 2013,train
916,708,360719929340731393,ana maría córdoba es la segunda colombiana victima del accidente de tren en santiago de compostela - #españa según revela cancillería de col ,Related and informative,Fri Jul 26 11:15:07 +0000 2013,train
917,709,360722995376955392,"spain train #disaster : black boxes recovered , death toll climbs , driver arrested . #tragic <URL> ",Related and informative,Fri Jul 26 11:27:18 +0000 2013,train
918,710,360727919481466880,"pagsalpok sa pader ng nadiskaril na tren sa santiago de compostela , spain , na - #hulicam ",Not applicable,Fri Jul 26 11:46:52 +0000 2013,train
919,711,360728154379264000,spain train driver detained over crash <URL> ,Related and informative,Fri Jul 26 11:47:48 +0000 2013,train
920,712,360729341354713088,airstar colabora en el accidente de tren en santiago de compostela : hola a tod <USR> airstar aporta su grano de ar . . . <URL> ,Related and informative,Fri Jul 26 11:52:31 +0000 2013,train
921,713,360730511561338881,bbc news - spain train crash : driver formally detained <URL> ,Related and informative,Fri Jul 26 11:57:10 +0000 2013,train
922,714,360734689079738368,i added a video to a <USR> playlist <URL> spain train crash : cctv footage | tren descarrila en santiago de ,Related and informative,Fri Jul 26 12:13:46 +0000 2013,train
923,715,360737998385577984,police detain spain train crash driver as suspect <URL> ,Related and informative,Fri Jul 26 12:26:55 +0000 2013,train
924,716,360738614944075776,conductor del tren accidentado en #españa alardeó de la velocidad <URL> <URL> ,Related and informative,Fri Jul 26 12:29:22 +0000 2013,train
925,717,360744285655670784,los 11 últimos segundos del tren de santiago de compostela ( impactante video ) <URL> ,Related and informative,Fri Jul 26 12:51:54 +0000 2013,train
926,718,360744382107889664,metieron preso al conductor del tren que se descarriló en españa <URL> via <USR> ,Related and informative,Fri Jul 26 12:52:17 +0000 2013,train
927,719,360745988547297280,"conductor de tren siniestrado en españa , detenido por imprudencia <URL> ",Related and informative,Fri Jul 26 12:58:40 +0000 2013,train
928,720,360746156327841794,spain train crash video shows horrific derailment ( video ) <URL> via <USR> ,Related and informative,Fri Jul 26 12:59:20 +0000 2013,train
929,721,360746483466780673,"from anthony weiner to obama on the economy to a fatal train wreck in spain , it ' s the week in the news , live 10am et : <URL> ",Related and informative,Fri Jul 26 13:00:38 +0000 2013,train
930,722,360752863003156481,imagen del conductor de tren accidentado en #españa da la vuelta al mundo . acá la foto y su crudo testimonio <URL> ,Related and informative,Fri Jul 26 13:25:59 +0000 2013,train
931,723,360760026857615362,policía rebaja provisionalmente a 78 los muertos en accidente de tren españa <URL> #news ,Related and informative,Fri Jul 26 13:54:27 +0000 2013,train
932,724,360764640604590081,video – accidente de tren de santiago de compostela <URL> ,Related and informative,Fri Jul 26 14:12:47 +0000 2013,train
933,725,360767463392161794,video – accidente de tren de santiago de compostela <URL> ,Related - but not informative,Fri Jul 26 14:24:00 +0000 2013,train
934,726,360767492735500288,cámara de seguridad graba el momento preciso del descarrilamiento de tren en españa <URL> ,Related and informative,Fri Jul 26 14:24:07 +0000 2013,train
935,727,360768243520126980,la policía española ajusta a 78 las víctimas mortales tras accidente de tren de santiago de compostela <URL> ,Related and informative,Fri Jul 26 14:27:06 +0000 2013,train
936,728,360771716391256066,<URL> < r . i . p to all those who died in the spain train crash #spaincrash ,Related - but not informative,Fri Jul 26 14:40:54 +0000 2013,train
937,729,360772437840896000,obamacare train wreck will kill far more people than the disastrous crash in spain <URL> via <USR> ,Related and informative,Fri Jul 26 14:43:46 +0000 2013,train
938,730,360772953736093696,familia venezolana sale ilesa de accidente de tren en españa ( fotos ) <URL> ,Related and informative,Fri Jul 26 14:45:49 +0000 2013,train
939,731,360774581096689665,"accidente de tren en españa : imputaron al maquinista por imprudencia . la he jodido . me quiero morir , dijo luego del hecho ",Related and informative,Fri Jul 26 14:52:17 +0000 2013,train
940,732,360779048034643969,españa : reducen a 78 los fallecidos por accidente del tren <URL> unete <USR> ,Related and informative,Fri Jul 26 15:10:02 +0000 2013,train
941,733,360783565295849472,"son 78 los muertos por el choque de tren en #españa , autoridades corrigen la cifra <URL> ",Related and informative,Fri Jul 26 15:27:59 +0000 2013,train
942,734,360786136416792579,"yolanda se encontraba de intercambio académico en santiago de compostela , españa , y viajaba en el tren que se accidentó ",Related and informative,Fri Jul 26 15:38:12 +0000 2013,train
943,735,360789231808954371,spain train crash : driver formally detained <URL> ,Related and informative,Fri Jul 26 15:50:30 +0000 2013,train
944,736,360790964056506368,"bbc total disgrace , still headlining stupid royal shit machine story , train crash in spain not too important apparently ",Related - but not informative,Fri Jul 26 15:57:23 +0000 2013,train
945,737,360795502285045760,familia venezolana se salva milagrosamente en tragedia del tren de españa - <URL> ,Related and informative,Fri Jul 26 16:15:25 +0000 2013,train
946,738,360802699731668994,#enlaweb confirman 78 muertes en accidente de tren de españa | <URL> #noticias #venezuela ,Related and informative,Fri Jul 26 16:44:01 +0000 2013,train
947,739,360806604624498689,obamacare train wreck will kill far more people than the disastrous crash in spain <URL> ,Related and informative,Fri Jul 26 16:59:32 +0000 2013,train
948,740,360815001625296896,<URL> - missionary from utah describes spain train wreck <URL> ,Related and informative,Fri Jul 26 17:32:54 +0000 2013,train
949,741,360815651717259264,"si en francia o españa choca un tren , se le dice accidente . en cambio , en argentina es culpa de la yegua korrupta k k k mate … ",Related - but not informative,Fri Jul 26 17:35:29 +0000 2013,train
950,742,360816926802456576,y en el accidente de tren en españa habia una boricua ? ! ombe no ,Related - but not informative,Fri Jul 26 17:40:33 +0000 2013,train
951,743,360817052644155393,"como ven esa noticia de rcnalgas , les importa mas un tren de españa que lo que esta pasando en colombia :@ #juegosmundialescali2013 ",Related - but not informative,Fri Jul 26 17:41:03 +0000 2013,train
952,744,360822945637076992,#colombia expresa sus condolencias a #españa por accidente de tren <URL> ,Related - but not informative,Fri Jul 26 18:04:28 +0000 2013,train
953,745,360823297954418689,oficialmente detenido el maquinista del tren accidentado en españa : madrid . - el maquinista del tren siniestra . . . <URL> ,Related and informative,Fri Jul 26 18:05:52 +0000 2013,train
954,746,360824128409837569,el maquinista de tren del alvia accidentado en santiago de compostela se niega a declarar ante la policia ,Related and informative,Fri Jul 26 18:09:10 +0000 2013,train
955,747,360824145203838976,#colombia expresa sus condolencias a #españa por accidente de tren <URL> ,Related and informative,Fri Jul 26 18:09:14 +0000 2013,train
956,748,360824531063029761,"driver of train that derailed in spain charged : santiago de compostela , spain , july 26 ( upi ) - - the driver of . . . http : … ",Related and informative,Fri Jul 26 18:10:46 +0000 2013,train
957,749,360828414984323072,#españa : el maquinista se jactaba en facebook de su velocidad a los mandos del tren . <URL> #santiago de c … ,Related and informative,Fri Jul 26 18:26:12 +0000 2013,train
958,750,360833183945719809,train crash driver formally held - the driver of a train that derailed in spain killing 78 people is formally deta . . . <URL> ,Related and informative,Fri Jul 26 18:45:09 +0000 2013,train
959,751,360839810946048001,opinion : high - speed rail is safe and smart : yonah freemark says spain ' s terrible train crash should not distra . . . <URL> ,Related and informative,Fri Jul 26 19:11:29 +0000 2013,train
960,752,360841186660978691,afp : detained driver of train which crashed in spain and killed 78 people refuses to answer police questioning ,Related and informative,Fri Jul 26 19:16:57 +0000 2013,train
961,753,360841648034422784,maquinista del tren descarrilado en santiago de compostela arriesga condena de 312 años de cárcel <URL> ,Related and informative,Fri Jul 26 19:18:47 +0000 2013,train
962,754,360847050285391874,"praying for everyone who was affected by the tragic train crash in santiago de compostela , spain ! our thoughts and hearts are all with you . ",Related - but not informative,Fri Jul 26 19:40:15 +0000 2013,train
963,755,360849256518651904,maquinista del tren descarrilado en españa se niega a declarar <URL> ,Related and informative,Fri Jul 26 19:49:01 +0000 2013,train
964,756,360850565120540672,arrr . . . que mal pinta el accidente de tren de santiago de compostela :( animo a los familiares y afectados . ,Related - but not informative,Fri Jul 26 19:54:13 +0000 2013,train
965,757,360852108641189889,#spain #train derailment #driver francisco jose garzon amo detained by police - cbs news <URL> ,Related and informative,Fri Jul 26 20:00:21 +0000 2013,train
966,758,360868722279333888,familia venezolana sale ilesa de accidente de tren en españa ( fotos ) <URL> ,Related and informative,Fri Jul 26 21:06:22 +0000 2013,train
967,759,360869494035464192,watching the news . the footage of that train crash in spain is bloody shocking ,Related and informative,Fri Jul 26 21:09:26 +0000 2013,train
968,760,360871377244401664,david villa ha donado 3 millones de euros para ayudar a los afectados en la tragedia del tren en santiago de compostela . #res … ,Related and informative,Fri Jul 26 21:16:55 +0000 2013,train
969,761,360873315008643073,"david villa , delantero del atletico madrid , dono 3 m $ para ayudar a los afectados en la tragedia del tren en santiago de compostela . ",Related and informative,Fri Jul 26 21:24:37 +0000 2013,train
970,762,360878914421264385,the impact expression has left a lasting impression . <USR> don ' t take the train in & around spain . ,Not applicable,Fri Jul 26 21:46:52 +0000 2013,train
971,763,360881393246543872,driver in spain train crash arrested over ' recklessness ' - cbc . ca : the hindudriver in spain train crash arrest . . . <URL> ,Related and informative,Fri Jul 26 21:56:43 +0000 2013,train
972,764,360882014016118784,driver suspected of causing spain ' s deadliest train disaster for 70 years refuses to answer police questions <URL> ,Related and informative,Fri Jul 26 21:59:11 +0000 2013,train
973,765,360884207641309184,conductor de tren accidentado en españa celebraba en facebook hazaña de correr a alta velocidad . por <USR> http :// t … ,Related and informative,Fri Jul 26 22:07:54 +0000 2013,train
974,766,360884878729949185,david villa ha donado 3 millones de euros para ayudar a los afectados en la tragedia del tren en santiago de compostela . #r … ,Related - but not informative,Fri Jul 26 22:10:34 +0000 2013,train
975,767,360886086668525569,was everyone alright in that train crash in spain ? ! ,Related - but not informative,Fri Jul 26 22:15:22 +0000 2013,train
976,768,360891828695871488,david villa ha donado 3 millones de euros para ayudar a los afectados en la tragedia del tren en santiago de compostela . … ,Related - but not informative,Fri Jul 26 22:38:11 +0000 2013,train
977,769,360911671931305985,maquinista de tren en españa rechaza declarar ante la policía <URL> ,Related and informative,Fri Jul 26 23:57:02 +0000 2013,train
416,993,364204510975365120,datos de la caja negra arrojan que el tren de santiago de compostela descarriló a 179 km / h - <URL> ,Related and informative,Mon Aug 05 02:01:36 +0000 2013,train
417,994,364204540330905600,pray for all the people killed / hurt in spain . the conductor put all their lives in danger by speeding and derailing the train . #prayforspain ,Related - but not informative,Mon Aug 05 02:01:43 +0000 2013,train
418,995,364473634267475968,spain to fit asfa train protection system to enforce speed limits <URL> ,Related and informative,Mon Aug 05 19:51:00 +0000 2013,train
426,870,361640025395433472,¿ queréis politizar el accidente del tren de santiago de compostela ? <URL> ,Related - but not informative,Mon Jul 29 00:11:15 +0000 2013,train
427,871,361649236112195585,spain train crash driver ' admits he was reckless ' : francisco garzón was freed on bail after a closed - door hear . . . <URL> ,Related and informative,Mon Jul 29 00:47:51 +0000 2013,train
428,872,361650230141255681,bbc news - spain train crash : reckless homicide charge for driver <URL> - ,Related and informative,Mon Jul 29 00:51:48 +0000 2013,train
429,873,361652478309187584,<USR> driver charged in spain train wreck : [ breaking news update at 6:00 p.m. et ] <USR> ,Related and informative,Mon Jul 29 01:00:44 +0000 2013,train
430,874,361652482482515970,<USR> driver charged in spain train wreck : [ breaking news update at 6:00 p.m. et ] <USR> ,Related and informative,Mon Jul 29 01:00:45 +0000 2013,train
431,875,361667133177999363,libertad con cargos para maquinista del tren accidentado en españa <URL> ,Related and informative,Mon Jul 29 01:58:58 +0000 2013,train
432,876,361684787007733761,el maquinista del tren que descarriló en españa quedó en libertad #tren <URL> vía <USR> ,Related and informative,Mon Jul 29 03:09:07 +0000 2013,train
433,877,361688217981947904,tragedia ferroviaria en españa : maquinista admite haber cometido imprudencia en el tren <URL> #oigola … ,Related and informative,Mon Jul 29 03:22:45 +0000 2013,train
434,878,361689203609829378,david villa solidario con las victimas del accidente de tren en compostela y dona 3 millones de euros para ayudarlos ,Related and informative,Mon Jul 29 03:26:40 +0000 2013,train
435,879,361689727910416385,el conductor del tren descarrilado en españa queda en libertad pero enfrenta 79 cargos de homicidio por imprudencia . <URL> ,Related and informative,Mon Jul 29 03:28:45 +0000 2013,train
436,880,361695700607700994,spain to hold funeral mass in santiago de compostela for train crash victims <URL> ,Related and informative,Mon Jul 29 03:52:29 +0000 2013,train
437,881,361696002610184192,"<USR> spanish train driver charged with 79 counts of homicide : santiago de compostela , spain ( reuters ) - the driver of a spa . . . ",Related and informative,Mon Jul 29 03:53:41 +0000 2013,train
438,882,361696031961923584,"<USR> driver of derailed spanish train charged with 79 counts of homicide : santiago de compostela , spain ( reuters ) - the dri . . . ",Related and informative,Mon Jul 29 03:53:48 +0000 2013,train
439,883,361696191328686083,"<USR> spain train crash driver charged : the driver of the train that crashed in north - west spain , killing 79 . . . <USR> ",Related and informative,Mon Jul 29 03:54:26 +0000 2013,train
440,884,361702189175017472,"train driver charged with 79 counts of homicide in spain crash [ reuters ] : francisco garzon , the driver of the . . . <URL> ",Related and informative,Mon Jul 29 04:18:16 +0000 2013,train
441,885,361705091658551296,spain : driver of derailed train charged with 79 counts of homicide <URL> #ht ,Related and informative,Mon Jul 29 04:29:48 +0000 2013,train
442,886,361715938107723776,spain to hold funeral mass in santiago de compostela for train crash victims <URL> ,Related and informative,Mon Jul 29 05:12:54 +0000 2013,train
443,887,361734812492496896,wonder how he survived that ? rt <USR> train driver charged in spain <URL> ,Related - but not informative,Mon Jul 29 06:27:54 +0000 2013,train
444,888,361756727718326272,sooo first a train crash in spain . . . . now a coach crash in italy ,Related - but not informative,Mon Jul 29 07:54:59 +0000 2013,train
445,889,361759462400331776,79 counts of homicide : driver francisco garzon charged for spain train crash ( video ) <URL> ,Related and informative,Mon Jul 29 08:05:51 +0000 2013,train
446,890,361764998910967808,"spanish train driver charged with 79 counts of homicide : by tracy rucinski santiago de compostela , spain ( reut . . . <URL> ",Related and informative,Mon Jul 29 08:27:51 +0000 2013,train
447,891,361779192406347776,spain train disaster leaves country in mourning <URL> #youtube #news ,Related and informative,Mon Jul 29 09:24:15 +0000 2013,train
448,892,361780882706669569,bbc news - spain train crash driver ' admits being careless ' <URL> ,Related and informative,Mon Jul 29 09:30:58 +0000 2013,train
449,893,361787165778264064,"[ ap top ] spanish royals to attend mass for train dead : santiago de compostela , spain ( ap ) — spain ' s royal fami . . . <URL> ",Related and informative,Mon Jul 29 09:55:56 +0000 2013,train
450,894,361833009516773376,españa se prepara para funeral oficial por víctimas de tren accidentado - <URL> ,Related and informative,Mon Jul 29 12:58:06 +0000 2013,train
451,895,361841662382710785,#noticias maquinista de tren descarrilado en españa queda en libertad condicional : el maquinista franci . . . <URL> #sibci ,Related and informative,Mon Jul 29 13:32:29 +0000 2013,train
452,896,361842555777851392,españa rinde homenaje a las víctimas del accidente de tren : ( cnnméxico ) — los 79 pasajeros que murieron en el . . . <URL> ,Related and informative,Mon Jul 29 13:36:02 +0000 2013,train
453,897,361844241862889473,"israel , the eu , the us and prophecy - there has been a huge train wreck in spain , killing some 77 people . the us . . . <URL> ",Related and informative,Mon Jul 29 13:42:44 +0000 2013,train
454,898,361846200615452673,dejan en libertad al conductor de tren descarrilado en españa <URL> ,Related and informative,Mon Jul 29 13:50:31 +0000 2013,train
455,899,361874931597836289,"indemnizarán con 60,000 euros a las familias de los fallecidos en el accidente de tren en españa ",Related and informative,Mon Jul 29 15:44:41 +0000 2013,train
456,900,361883022414450689,indemnizarán con 60.000 euros a familias de fallecidos en accidente de tren en españa : allianz seguros anunció . . . <URL> ,Related and informative,Mon Jul 29 16:16:50 +0000 2013,train
457,901,361888680543129603,"el chofer del tren en santiago de compostela ( esp ) admitió su culpa , y aseguró que lo hizo porque quería morir , y quedó vivo . irónico . ",Related and informative,Mon Jul 29 16:39:19 +0000 2013,train
458,902,361909362626805762,"train derailed in spain , coach plunges from bridge in italy , trains collide in switzerland . fuck me these past few days has been bad ",Related and informative,Mon Jul 29 18:01:30 +0000 2013,train
459,903,361912483188965376,#world ▪ watch live : spain train crash memorial : the memorial service for the victims of a train which deraile . . . <URL> ,Related and informative,Mon Jul 29 18:13:54 +0000 2013,train
460,904,361913443718135808,"what is it with all the train crashes recently ? first paris , then spain and now reports of fatalities in a train crash in switzerland ",Related - but not informative,Mon Jul 29 18:17:43 +0000 2013,train
461,905,361919118598868992,"<URL> spain ' s train tragedy hurts national pride : as the conductor confesses , spain ' s identity . . . <URL> ",Related and informative,Mon Jul 29 18:40:16 +0000 2013,train
462,906,361919986832388097,"me quiero morir , dijo el conductor del tren que descarriló en españa <URL> ",Related and informative,Mon Jul 29 18:43:43 +0000 2013,train
463,907,361933815448481793,"i ' m really sorry for the train accident in spain , feeling sadness for the victims and families , rip . ",Related - but not informative,Mon Jul 29 19:38:40 +0000 2013,train
464,908,361939876188393472,there are lots of train crash happening first one in spain and now one in switzerland . ,Related - but not informative,Mon Jul 29 20:02:45 +0000 2013,train
465,909,361971748700307458,emotivo funeral recuerda a víctimas y a héroes de accidente de tren en españa <URL> #aragua ,Related and informative,Mon Jul 29 22:09:24 +0000 2013,train
466,910,361980422537744384,<USR> mass for spanish train crash dead : members of spain ' s royal family attend a mass in santiago de composte . . . <USR> ,Related and informative,Mon Jul 29 22:43:52 +0000 2013,train
467,911,361980502221131778,<USR> mass for spanish train crash dead : members of spain ' s royal family attend a mass in santiago de composte . . . <USR> ,Related and informative,Mon Jul 29 22:44:11 +0000 2013,train
468,912,361980535775571968,<USR> mass for spanish train crash dead : members of spain ' s royal family attend a mass in santiago de composte . . . <USR> ,Related and informative,Mon Jul 29 22:44:19 +0000 2013,train
469,913,361989251568631811,spain train crash : driver told judge he was ' distracted ' : the driver of the train that sped off the rails outs . . . <URL> ,Related and informative,Mon Jul 29 23:18:57 +0000 2013,train
470,914,361989587104579584,60.000 euros de indemnización recibirán familias de cada fallecido en accidente del tren en españa <URL> ,Related and informative,Mon Jul 29 23:20:17 +0000 2013,train
471,915,361990606324637697,"#xalapa : velan a veracruzana fallecida en accidente de tren en santiago de compostela , #españa <URL> ",Related and informative,Mon Jul 29 23:24:20 +0000 2013,train
992,987,363458935686053889,spain train #tragedy <URL> reports have indicated that 80 died in a train crash <URL> ,Related and informative,Sat Aug 03 00:38:57 +0000 2013,train
993,988,363459640299757571,spain train #tragedy <URL> reports have indicated that 80 died in a train crash <URL> ,Related and informative,Sat Aug 03 00:41:45 +0000 2013,train
994,989,363460739207405569,spain train #tragedy <URL> reports have indicated that 80 died in a train crash <URL> ,Related and informative,Sat Aug 03 00:46:07 +0000 2013,train
995,990,363575726064140288,#internacional el maquinista del tren siniestrado en españa ignoró avisos para aminorar la velocidad <URL> #rt ,Related and informative,Sat Aug 03 08:23:02 +0000 2013,train
996,991,363711315350528000,experts warn : cybercriminals exploit news of train crash in spain with their malicious campaigns <URL> #ccureit ,Related and informative,Sat Aug 03 17:21:49 +0000 2013,train
997,992,363763408589438976,el momento del descarrilamiento del tren en santiago de compostela : <URL> vía <USR> ,Related and informative,Sat Aug 03 20:48:49 +0000 2013,train
264,770,360914314351218692,david villa ha donado 3 millones de euros para ayudar a los afectados en la tragedia del tren en santiago de compostela . #res … ,Related and informative,Sat Jul 27 00:07:32 +0000 2013,train
265,771,360916256326565890,detienen al conductor del tren que se descarriló en españa : ( cnn ) – el conductor del tren que descarriló este . . . <URL> ,Related and informative,Sat Jul 27 00:15:15 +0000 2013,train
266,772,360920429642268673,now : hear the scary account of an american who survived the train crash #ac360 #spain ,Related and informative,Sat Jul 27 00:31:50 +0000 2013,train
267,773,360929690678067201,"video : momento en que el tren se sale de ruta , accidente españa ~ <URL> <URL> ",Related and informative,Sat Jul 27 01:08:38 +0000 2013,train
268,774,360933150978879488,"es curioso , para abc y la razón lo del tren es culpa del maquinista , en cambio rajoy no es culpable de lo de españa . ",Related - but not informative,Sat Jul 27 01:22:23 +0000 2013,train
